accession,name,type,tax_id,tax_name,extras,status
SAMN02945869,II052F (Danube km 1159),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945870,II052A (Danube km 1159),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945871,II055F (Danube km 1107),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945872,II055A (Danube km 1107),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945873,II056F (Danube km 1103),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945874,II056A (Danube km 1103),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945875,II057F (Danube km 1097),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945876,II057A (Danube km 1097),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945877,II058F (Danube km 1077),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945878,II058A (Danube km 1077),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945879,II059A (Danube km 1071),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945880,II060F (Danube km 1040),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945881,II060A (Danube km 1040),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945882,II061A (Danube km 991),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945883,II062F (Danube km 954),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945884,II063F (Danube km 926),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945885,II063A (Danube km 926),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945886,II066A (Danube km 845),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945887,II067A (Danube km 834),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945888,II068F (Danube km 795),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945889,II071A (Danube km 637),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945890,II073F (Danube km 606),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945891,II077A (Danube km 550),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945892,II078A (Danube km 537),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945893,II079A (Danube km 532),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945894,II081F (Danube km 498),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945895,II083F (Danube km 434),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945896,II083A (Danube km 434),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945897,II084F (Danube km 432),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945898,II084A (Danube km 432),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945899,II086A (Danube km 378),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945900,II087A (Danube km 295),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945901,II088A (Danube km 235),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945902,II008A (Danube km 2120),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945903,II089A (Danube km 167),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945904,II090A (Danube km 157),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945905,II093F (Danube km 18),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945906,II011A (Danube km 1950),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945907,II012F (Danube km 1942),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945908,II012A (Danube km 1942),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945909,II096A (Danube km 0),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945910,II069A (Danube km 685),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945911,II071F (Danube km 637),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945912,II018Abr2 (Danube km 1806),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945913,II017A (Danube km 1852),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945914,II024Abr2 (Danube km 1716),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945915,II019F (Danube km 1794),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945916,II054A (Danube km 1132),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945917,II049Abr2 (Danube km 1215),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945918,II066Fbr2 (Danube km 845),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945919,II071Fbr2 (Danube km 637),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945920,II071Abr2 (Danube km 637),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945921,II091Abr2 (Danube km 135),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945922,II068A (Danube km 795),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945923,II015Abr2 (Danube km 1880),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945924,II014Atr2 (Danube km 1881),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945925,II014Atr3 (Danube km 1881),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945926,II015Atr2 (Danube km 1880),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945927,II015Atr3 (Danube km 1880),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945928,II084Ftr2 (Danube km 432),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945929,II084Ftr3 (Danube km 432),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945930,II078Atr2 (Danube km 537),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945931,II078Atr3 (Danube km 537),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945932,II079Atr2 (Danube km 532),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945933,II079Atr3 (Danube km 532),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945934,II024Atr2 (Danube km 1716),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945935,II024Atr3 (Danube km 1716),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945936,II047Atr2 (Danube km 1252),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945937,II047Atr3 (Danube km 1252),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945938,II003Ftr2 (Danube km 2354),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945939,II003Ftr3 (Danube km 2354),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945940,II023Ftr2 (Danube km 1719),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945941,II032Atr2 (Danube km 1632),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945942,II023Ftr3 (Danube km 1719),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945943,II032Atr3 (Danube km 1632),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945944,II021Abr2 (Danube km 1766),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945945,II052Atr3 (Danube km 1159),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945946,II032Fbr2 (Danube km 1632),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945947,II035Fbr2 (Danube km 1560),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945948,II040Fbr2 (Danube km 1424),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945949,II009Abr2 (Danube km 2061),biosample,1169740,aquatic metagenome,,processed-ok
SAMN02945950,II052Abr2 (Danube km 1159),biosample,1169740,aquatic metagenome,,processed-ok
